ID,Label
del02 Lyr,590
alf Mic,591
zet Mon,592
alf Mon,593
del Mon,594
18 Mon,595
bet Mon,596
13 Mon,597
15 Mon,598
17 Mon,599
35 Ari,600
39 Ari,601
bet Mus,602
alf Mus,603
gam Mus,604
del Mus,605
alf Oph,606
kap Oph,607
iot Oph,608
lam Ser,609
alf Ser,610
eps Ser,611
del Oph,612
eps Oph,613
zet Oph,614
eta Oph,615
tet Oph,616
36 Oph B,617
eta Ser,618
tet01 Ser,619
gam Oph,620
bet Oph,621
72 Oph,622
71 Oph,623
66 Oph,624
67 Oph,625
68 Oph,626
70 Oph,627
alf Ori,628
phi02 Ori,629
lam Ori,630
phi01 Ori,631
pi.03 Ori,632
pi.04 Ori,633
pi.05 Ori,634
pi.02 Ori,635
pi.06 Ori,636
eta Ori,637
c Ori,638
sig Ori,639
iot Ori,640
alf Pav,641
bet Pav,642
gam Pav,643
del Pav,644
eps Pav,645
zet Pav,646
pi. Peg,647
eta Peg,648
mu. Peg,649
lam Peg,650
42 Peg,651
tet Peg,652
eps Peg,653
1 Peg,654
tau Peg,655
ups Peg,656
eta Per,657
gam Per,658
alf Per,659
iot Per,660
tau Per,661
bet Per,662
rho Per,663
16 Per,664
kap Per,665
del Per,666
nu. Per,667
eps Per,668
zet Per,669
omi Per,670
c Per,671
mu. Per,672
tet Per,673
bet Phe,674
gam Phe,675
del Phe,676
alf Phe,677
eps Phe,678
alf PsA,679
eps PsA,680
bet PsA,681
iot PsA,682
tet PsA,683
l Psc,684
ups Psc,685
tau Psc,686
phi Psc,687
chi Psc,688
rho Psc,689
eta Psc,690
pi. Psc,691
omi Psc,692
alf Psc,693
ksi Psc,694
nu. Psc,695
mu. Psc,696
zet Psc A,697
eps Psc,698
del Psc,699
ome Psc,700
iot Psc,701
tet Psc,702
gam Psc,703
kap Psc,704
lam Psc,705
bet Psc,706
30 Psc,707
74 Psc A,708
bet Pyx,709
alf Pyx,710
tet Pyx,711
del Pyx,712
eps Pyx,713
alf Ret,714
bet Ret,715
alf Scl,716
eps Scl,717
i Aql,718
bet Sct,719
alf Sct,720
kap Ser,721
iot Ser,722
rho Ser,723
pi. Ser,724
V QY Ser,725
bet Ser,726
gam Ser,727
del Ser,728
mu. Ser,729
lam Oph,730
nu. Ser,731
omi Ser,732
ksi Ser,733
zet Ser,734
nu. Oph,735
gam Sge,736
del Sge,737
alf Sge,738
bet Sge,739
mu. Sgr,740
ksi02 Sgr,741
omi Sgr,742
alf Sgr,743
bet01 Sgr,744
iot Sgr,745
chi01 Sgr,746
ome Sgr,747
tet Ara,748
alf Tel,749
zet Tau,750
132 Tau,751
tet02 Tau,752
27 Tau,753
lam Tau,754
nu. Tau,755
mu. Tau,756
ksi Tau,757
omi Tau,758
alf TrA,759
bet TrA,760
gam TrA,761
alf Tuc,762
gam Tuc,763
bet01 Tuc,764
ups UMa,765
lam UMa,766
chi UMa,767
10 UMa,768
alf UMi,769
del UMi,770
eps UMi,771
zet UMi,772
eta UMi,773
alf Vir,774
tet Vir,775
gam Vir,776
eta Vir,777
c Vir,778
pi. Vir,779
nu. Vir,780
ksi Vir,781
omi Vir,782
ome Vir,783
del Vir,784
eps Vir,785
zet Vir,786
109 Vir,787
phi Vir,788
iot Vir,789
mu. Vir,790
kap Vir,791
lam Vir,792
i Vir,793
2 Vul,794
alf Vul,795
15 Vul,796
23 Vul,797
41 Cyg,798
HD 192685,799
14 Vul,800
13 Vul A,801
tet01 Ori C,802
72 Leo,803
c02 Sco,804
zet Gru,805
iot Gru,806
eps Cnc,807
eta Cas,808
ksi Per,809
phi UMa,810
sig And,811
phi And,812
iot Ant,813
eps Ant,814
alf Aps,815
gam Aps,816
del01 Aps,817
bet Aps,818
phi Aqr,819
psi02 Aqr,820
b01 Aqr,821
tau Aqr,822
gam Cae,823
del Cae,824
7 Cam,825
HD  42818,826
gam Cam,827
iot Cnc,828
tet CMa,829
psi Cap,830
ome Cap,831
zet Cap,832
tet Cap,833
ome Car,834
q Car,835
u Car,836
z Car,837
y Car,838
x Car,839
ups01 Cen,840
phi Cen,841
chi Cen,842
psi Cen,843
pi. Cen,844
omi01 Cen,845
l Cen,846
mu. Cep,847
tet Cep,848
alf Cha,849
gam Cha,850
del02 Cha,851
bet Cha,852
eps Cha,853
bet Cir,854
alf Cir,855
gam Cir,856
eta Col,857
del Col,858
iot Cyg,859
zet Dor,860
del Dor,861
HD  40409,862
phi Dra,863
eps Dra,864
pi. Eri,865
tau06 Eri,866
tau08 Eri,867
tau09 Eri,868
ups01 Eri,869
g Eri,870
y Eri,871
s Eri,872
bet For,873
nu. For,874
tau Gem,875
1 Gem,876
chi Her,877
h Her,878
alf Hor,879
iot Hor,880
eta Hor,881
zet Hor,882
mu. Hor,883
bet Hor,884
ups01 Hya,885
ups02 Hya,886
eta Ind,887
tet Ind A,888
del Ind,889
5 Lac,890
6 Lac,891
11 Lac,892
HD 211073,893
10 LMi,894
46 LMi,895
kap Lep,896
ups Lib,897
eta Lup,898
21 Lyn,899
eps Mon A,900
gam Mon,901
lam Mus,902
eps Mus,903
eta Nor,904
gam02 Nor,905
eps Nor,906
del Nor,907
del Oct,908
nu. Oct,909
bet Oct,910
ups Oph,911
phi Oph,912
chi Oph,913
psi Oph,914
11 Ori,915
omi02 Ori,916
pi.01 Ori,917
mu. Ori,918
nu. Ori,919
ksi Ori,920
chi02 Ori,921
chi01 Ori,922
kap Pav,923
pi. Pav,924
eta Pav,925
ksi Pav,926
lam Pav,927
b Per,928
lam Per,929
phi Per,930
zet Phe,931
gam Pic,932
bet Pic,933
del PsA,934
gam PsA,935
mu. PsA,936
p Pup,937
l Pup,938
omi Pup,939
gam Pyx,940
del Ret,941
eps Ret,942
rho01 Sgr,943
del Scl,944
gam Scl,945
bet Scl,946
gam Sct,947
del Sct,948
gam Sex,949
alf Sex,950
bet Sex,951
del Sex,952
10 Tau,953
eps Tel,954
zet Tel,955
zet Tuc,956
eps Tuc,957
del Tuc,958
tau Vir,959
alf Vol,960
bet Vol,961
eps Vol,962
del Vol,963
gam02 Vol,964
alf UMa A,965
HD  33167,966
58 Per,967
HD 224635,968
14 And,969
tet And,970
zet Cas,971
chi Cas,972
9 Aur,973
nu. Aur,974
rho Aur,975
mu. Aur,976
rho CrB,977
7 CrB A,978
i Boo A,979
ome CMa,980
pi.02 UMa,981
tet Cas,982
psi02 Aur,983
psi04 Aur,984
psi07 Aur,985
psi10 Aur,986
kap CrB,987
4 UMi,988
ups Sgr,989
zet01 Sco,990
eta Cap,991
chi Cap,992
phi Cap,993
b Cap,994
iot Cap,995
kap02 Tau,996
ups Tau,997
eta CrB,998
tau Tau,999
kap Cas,1000
kap Cap,1001
tau Dra,1002
HD 132833,1003
11 Lib,1004
HD 132525,1005
31 Boo,1006
eps Ari,1007
zet Ari,1008
omi Boo,1009
nu.02 Boo,1010
kap Col,1011
k Aqr,1012
chi Aqr,1013
HD 223807,1014
HD 223774,1015
104 Aqr,1016
rho Aqr,1017
i03 Aqr,1018
i02 Aqr A,1019
ksi01 Cet,1020
67 Cet,1021
V BK Cet,1022
tet02 Ori A,1023
HD  36960,1024
ups Ori,1025
e Ori,1026
100 Her B,1027
V V831 Her,1028
c Oph,1029
sig Oph,1030
f Lup,1031
28 Sgr,1032
d Sgr,1033
omi Dra,1034
42 Cam,1035
43 Cam,1036
ksi Aur,1037
45 Cnc,1038
chi Cnc,1039
pi. Per,1040
ups And,1041
tau Cyg,1042
18 Com,1043
27 Com,1044
70 Vir,1045
l Aql,1046
nu. Cap,1047
41 Lib,1048
zet04 Lib,1049
phi Leo,1050
w Car,1051
sig Pup,1052
a Pup,1053
HD  65810,1054
ksi Eri,1055
tau02 Eri,1056
47 Eri,1057
omi02 Eri,1058
psi Sco,1059
HD 155078,1060
eta Tuc,1061
5 CVn,1062
HD  82741,1063
tau UMa,1064
f UMa,1065
32 Ori,1066
zet02 Cnc,1067
pi. Lup,1068
