ID,Label,Con_Name
290,rho Sco,CON Bugis 003
291,sig Sco,CON Bugis 003
292,alf Sco,CON Bugis 003
293,tau Sco,CON Bugis 003
294,eps Sco,CON Bugis 003
295,mu.01 Sco,CON Bugis 003
296,zet02 Sco,CON Bugis 003
297,bet UMa,CON Bugis 004
298,alf UMa,CON Bugis 004
299,gam UMa,CON Bugis 005
300,del UMa,CON Bugis 005
301,eps UMa,CON Bugis 005
302,zet01 UMa,CON Bugis 005
303,eta UMa,CON Bugis 005
304,gam UMa,CON Bugis 006
305,del UMa,CON Bugis 006
306,eps UMa,CON Bugis 006
307,zet01 UMa,CON Bugis 006
308,eta UMa,CON Bugis 006
309,psi UMa,CON Bugis 006
310,bet UMa,CON Bugis 006
311,alf UMa,CON Bugis 006
312,bet UMi,CON Bugis 006
313,gam UMi,CON Bugis 006
314,zet Ori,CON Bugis 007
315,eps Ori,CON Bugis 007
316,del Ori,CON Bugis 007
317,gam Ori,CON Bugis 008
318,del Ori,CON Bugis 008
319,eps Ori,CON Bugis 008
320,zet Ori,CON Bugis 008
321,kap Ori,CON Bugis 008
322,bet Ori,CON Bugis 008
323,bet Cen,CON Bugis 009
324,alf Cen A,CON Bugis 009
325,alf Car,CON Bugis 010
326,alf CMa,CON Bugis 010
327,alf CMi,CON Bugis 010
328,alf Leo,CON Bugis 011
329,bet Leo,CON Bugis 011
330,bet Tri,CON Bugis 012
331,alf Tri,CON Bugis 012
332,gam Tri,CON Bugis 012
333,ups Per,CON Dien And
334,gam01 And,CON Dien And
335,bet And,CON Dien And
336,alf And,CON Dien And
337,omi And,CON Dien And
338,lam And,CON Dien And
339,kap And,CON Dien And
340,iot And,CON Dien And
341,pi. And,CON Dien And
342,nu. And,CON Dien And
343,mu. And,CON Dien And
344,del And,CON Dien And
345,eps And,CON Dien And
346,zet And,CON Dien And
347,eta And,CON Dien And
348,alf Ant,CON Dien Ant
349,gam Aql,CON Dien Aql
350,alf Aql,CON Dien Aql
351,bet Aql,CON Dien Aql
352,tet Aql,CON Dien Aql
353,eta Aql,CON Dien Aql
354,del Aql,CON Dien Aql
355,zet Aql,CON Dien Aql
356,eps Aql,CON Dien Aql
357,iot Aql,CON Dien Aql
358,lam Aql,CON Dien Aql
359,iot Aql,CON Dien Aql2
360,kap Aql,CON Dien Aql2
361,eps Aqr,CON Dien Aqr
362,mu. Aqr,CON Dien Aqr
363,bet Aqr,CON Dien Aqr
364,omi Aqr,CON Dien Aqr
365,gam Aqr,CON Dien Aqr
366,alf Aqr,CON Dien Aqr
367,del Aqr,CON Dien Aqr
368,c02 Aqr,CON Dien Aqr
369,pi. Aqr,CON Dien Aqr
370,eta Aqr,CON Dien Aqr
371,zet01 Aqr,CON Dien Aqr
372,iot Aqr,CON Dien Aqr
373,tet Aqr,CON Dien Aqr
374,lam Aqr,CON Dien Aqr
375,eps Aqr,CON Dien Aqr_eq
376,mu. Aqr,CON Dien Aqr_eq
377,bet Aqr,CON Dien Aqr_eq
378,tet Aqr,CON Dien Aqr_eq
379,iot Aqr,CON Dien Aqr_eq
380,ksi Aqr,CON Dien Aqr_eq
381,lam Aqr,CON Dien Aqr_eq
382,del Aqr,CON Dien Aqr_eq
383,c02 Aqr,CON Dien Aqr_eq
384,gam Aqr,CON Dien Aqr_eq
385,alf Aqr,CON Dien Aqr_eq
386,omi Aqr,CON Dien Aqr_eq
387,pi. Aqr,CON Dien Aqr_eq
388,eta Aqr,CON Dien Aqr_eq
389,zet01 Aqr,CON Dien Aqr_eq
390,alf Ara,CON Dien Ara
391,bet Ara,CON Dien Ara
392,gam Ara,CON Dien Ara
393,del Ara,CON Dien Ara
394,eta Ara,CON Dien Ara
395,zet Ara,CON Dien Ara
396,eps01 Ara,CON Dien Ara
397,gam01 Ari,CON Dien Ari
398,bet Ari,CON Dien Ari
399,alf Ari,CON Dien Ari
400,del Ari,CON Dien Ari
401,alf Aur,CON Dien Aur
402,bet Aur,CON Dien Aur
403,tet Aur,CON Dien Aur
404,iot Aur,CON Dien Aur
405,eps Aur,CON Dien Aur
406,eta Aur,CON Dien Aur
407,zet Aur,CON Dien Aur
408,del Aur,CON Dien Aur
409,psi05 Aur,CON Dien Aur
410,alf Aur,CON Dien Aur_eq
411,bet Aur,CON Dien Aur_eq
412,tet Aur,CON Dien Aur_eq
413,del Aur,CON Dien Aur_eq
414,eps Aur,CON Dien Aur_eq
415,eta Aur,CON Dien Aur_eq
416,zet Aur,CON Dien Aur_eq
417,iot Aur,CON Dien Aur_eq
418,psi05 Aur,CON Dien Aur_eq
419,kap Aur,CON Dien Aur_eq
420,63 Aur,CON Dien Aur_eq
421,alf Boo,CON Dien Boo
422,eps Boo,CON Dien Boo
423,del Boo,CON Dien Boo
424,bet Boo,CON Dien Boo
